SrNo,CensusCode,Load,VillageName
452,548713,1779,Georai Gungi
453,548702,1458,Georai Paiga
454,548743,604,Girsawali
455,548683,151,Gumastala
456,548662,1013,Hiwara
457,548703,1002,Jalgaon Mete
458,548689,393,Janefal
459,548742,1844,Jategaon
460,548663,1004,Jatwa
461,548661,479,Kanhegaon
462,548721,1385,Kanhori
463,548707,409,Kawitkheda
464,548679,3500,Khamgaon
465,548734,2228,Kingaon
466,548722,1749,Lahanyachiwadi
467,548672,405,Lalwan
468,548686,1554,Leha Babra
469,548695,1074,Mahal Kinhola
470,548723,545,Malodyachiwadi
471,548678,445,Mamnabad
472,548747,653,Marsawali
473,548719,401,Mhasla
474,548736,800,Murshadabadwadi
475,548674,1030,Naigaon
476,548680,0,Naigaon
477,548746,885,Nandra
478,548710,463,Narla
479,548675,1991,Nidhona
480,548700,632,Nimkheda
481,548701,642,Padali
482,548673,1065,Padali Wawana
483,548724,2751,Pal
484,548739,401,Panwadi
485,548708,2262,Pathri
486,548699,886,Pedgaon Alad
487,548727,886,Pimpalgaon Gangdeo
488,548720,1524,Pimpalgaon Walan
489,548718,1219,Pimpalgaondeo
490,548716,2318,Pirbawada
491,548676,700,Pokhari
492,548659,85,Pophala
493,548715,800,Ranjangaon
494,548731,2693,Relgaon
495,548656,502,Ridhora
496,548738,751,Sanjul
497,548684,1127,Satal Pimpri
498,548682,1028,Satala Bk.
499,548712,1160,Selgaon
500,548660,389,Shahapur
501,548690,912,Shelgaon
502,548697,868,Shevta Bk.
503,548704,444,Shevta Kh.
504,548688,1458,Shirodi Bk
505,548691,1115,Shirodi Kh
506,548669,619,Sonari Bk.
507,548670,0,Sonari Kh.
508,548728,589,Sultanwadi
509,548657,1102,Takali Kolte
510,548664,1830,Umravati
511,548705,2215,Wadod Bajar
512,548696,747,Wadod Kh.
513,548709,1021,Waghalagaon
514,548745,636,Waghola
515,548687,1860,Wahegaon
516,548694,1188,Wakod
517,548732,1334,Wanegaon Bk
518,548717,601,Wanegaon Kh
519,548733,2732,Waregaon
520,548671,1090,Wawana
521,548685,929,Wiramgaon
522,548859,0,Abdimandi
523,548852,6778,Adgaon Bk
524,548898,883,Adgaon Kh
525,548779,572,Adgaon Maholi
526,548780,1191,Adgaon Sarak
527,548794,140,Alampur
528,548912,404,Ambikapur
529,548788,665,Anjandoh
530,548787,188,Antapur
531,548904,1898,Apatgaon
532,548774,190,Ashrafpur
533,548801,646,Aurangpur
534,548882,321,Bagtalab
535,548778,86,Bakapur
536,548881,747,Balapur
537,548817,1128,Bangaon
538,548923,0,Bebalyachiwadi
539,548822,555,Bendewadi
540,548818,228,Bhabarda
541,548888,1034,Bhalgaon
542,548766,198,Bhikapur
543,548884,370,Bhindon
544,548797,374,Bhogalwadi
545,548755,207,Borwadi
546,548756,168,Borwadi Tanda
547,548792,468,Chartha
548,548749,1946,Chauka
549,548750,618,Chaukawadi
550,548853,2289,Chincholi
551,548908,1274,Chite Pimpalgaon
552,548907,5179,Chitegaon
553,548917,312,Daigavhan
554,548897,790,Darakwadi
555,548804,710,Daregaon
556,548858,0,Daulatabad
557,548784,66,Daulatpur
558,548842,2141,Demani
559,548880,873,Devlai
560,548866,162,Dharmapur
561,548803,363,Dhawalapuri
562,548757,230,Dhondkheda
563,548768,365,Dhopateshwar
564,548754,665,Donwada
565,548819,2478,Dudhad
566,548893,167,Eklahara
567,548905,943,Ekod
568,548814,149,Fattepur
569,548824,1777,Gadhe Jalgaon
570,548928,828,Gadiwat
571,548927,654,Gadiwat Tanda
572,548883,2670,Gandheli
573,548815,1511,Gangapur Jahagir
574,548874,78,Gangapur Nehari
575,548889,1435,Garkheda
576,548772,151,Gavadari Tanda
577,548876,1213,Georai
578,548806,767,Georai Kubri
579,548875,709,Georai Tanda
580,548929,1122,Ghardon
581,548925,705,Ghardon Tanda
582,548916,314,Gharegaon Ektuni
583,548915,17,Gharegaon Pimpri
584,548877,589,Girnera
585,548878,281,Girnera Tanda
586,548844,2597,Golatgaon
587,548871,428,Golwadi
588,548783,735,Gopalpur
589,548825,509,Hasanabadwadi
590,548910,131,Hasanpur
591,548790,1027,Hatmali
592,548813,745,Hirapur
593,548846,731,Hivra
594,548899,393,Husenpur
595,548909,290,Ibrahimpur
596,548773,254,Islampurwadi
597,548847,1245,Jadgaon
598,548816,1095,Jaipur
599,548903,115,Jakmatha
600,548823,1427,Jalgaon Feran
601,548771,2128,Jatwada
602,548828,94,Jawatpur
603,548930,890,Jodwadi
604,548770,194,Jogwada
605,548802,317,Kachanpur
606,548810,901,Kachhighati
607,548931,1784,Kachner
608,548932,205,Kachner Tanda
609,548921,993,Kadrabad
610,548777,807,Kanhapur
611,548759,201,Kankora
612,548841,1229,Karajgaon
613,548894,28,Karhol
614,548837,2552,Karmad
615,548868,5641,Karodi
616,548857,624,Kesapuri
617,548862,0,Kesapuri Tanda
618,548753,355,Khamkheda
619,548924,2698,Khodegaon
620,548896,539,Kodgaon Ambad
621,548895,521,Kodgaon Jalna
622,548914,414,Kolghar
623,548763,555,Kolthan
624,548821,645,Konewadi
625,548762,991,Krishnapurwadi
626,548835,463,Kubhephal
627,548836,1914,Ladgaon
628,548798,4589,Ladsawangi
629,548796,1009,Lamkana
630,548922,910,Laygaon
631,548758,414,Lingdari
632,548826,707,Mahalpimpri
633,548892,75,Mahamadpur
634,548829,115,Malharpur
635,548863,5236,Maliwada
636,548900,521,Malkapur
637,548782,924,Mandki
638,548845,1434,Mangrul
639,548752,599,Morvira
640,548827,252,Murshadkuli
641,548795,382,Murshadpur
642,548748,1621,Murumkheda
643,548839,2720,Nagonyachiwadi
644,548765,1518,Naigaon
645,548789,994,Naigavhan
646,548775,8,Nanakwadi
647,548850,1692,Nipani
648,548767,1312,Ohar
649,548906,581,Pachod
650,548781,2706,Palshi
651,548920,145,Pandhari
652,548854,342,Pardari
653,548855,190,Pardari Tanda
654,548873,2184,Patoda
655,548805,539,Pimpal Khunta
656,548919,1047,Pimpalgaon Pandhari
657,548901,2015,Pimpri Bk
658,548902,2760,Pimpri Kh
659,548809,238,Pirwadi
660,548785,2053,Pisadevi
661,548776,981,Pokhari
662,548769,0,Rahalpatti  Tanda
663,548830,259,Rampur
664,548861,1234,Rampuri
665,548793,456,Rustumpur
666,548786,150,Sahajatpur
667,548926,42,Sahastramuli
668,548918,919,Sanjkheda
669,548760,83,Sarola
670,548751,348,Satala
671,548838,1303,Satana
672,548879,234,Satara Tanda
673,548761,4301,Sawangi
674,548800,299,Sayyadpur
675,548791,498,Selud
676,548869,2337,Shahajapur
677,548911,355,Shahapur
678,548867,90,Shekapur
679,548840,1630,Shekta
680,548833,1379,Shendra Kamangar
681,548834,2891,Shendraban
682,548865,1399,Shernapur
683,548820,1138,Shevga
684,548885,73,Shivgad Tanda
685,548886,300,Sindon
686,548860,16,Sirasmal Tanda
687,548799,324,Sultanpur
688,548811,0,Sultanpur
689,548831,222,Sundarwadi
690,548832,339,Takli Shimpi
691,548849,348,Takli Vaidya
692,548913,340,Taklimali
693,548870,11895,Tisgaon
694,548856,212,Tohla Naik Tanda
695,548848,687,Tongaon
696,548764,1824,Tuljapur
697,548891,386,Uchalti
698,548890,135,Vitthalpur
699,548887,439,Wadgaon Kh.
700,548808,1000,Wadkha
701,548843,645,Wahegaon
702,548872,576,Waladgaon
703,548864,674,Wanjarwadi
704,548812,666,Warud
705,548807,1872,Warzadi
706,548851,1760,Zalta
707,802766,0,Aurangabad (CB)
708,548933,15274,Wadgaon Kolhati (CT)
709,548934,1087,Satara (CT)
710,548935,41,Pandharpur (CT)
711,802765,0,Aurangabad (M Corp.)
712,548987,15,Abdullapur
713,548946,1422,Akhatwada
714,548943,192,Azampur
715,548951,197,Badlabai
716,548952,12,Bagkot
717,548979,2378,Bazar Sawangi
718,548998,554,Bhandegaon
719,549004,1103,Bhataji
720,548970,848,Bodkha
721,549001,408,Borwadi
722,548945,3018,Chincholi
723,548967,1621,Daregaon
724,548993,1105,Deolana Bk
725,548994,229,Deolana Kh
726,548982,1168,Dhamangaon
727,548972,243,Dhamni
728,549000,1300,Gadana
729,548944,2404,Galleborgaon
730,548965,600,Gandheshwar
731,549009,1141,Ghodegaon
732,549006,1675,Golegaon
733,548974,373,Indapur
734,549007,332,Jafarwadi
735,548962,200,Kagjipura
736,548984,386,Kanadgaon
737,548983,1154,Kanakshil
738,548957,1597,Kasabkheda
739,548936,197,Kautgaon
740,549008,1224,Khandi Pimpalgaon
741,548947,126,Khaspur
742,548992,245,Khatnapur
743,548964,1470,Khirdi
744,548954,3113,Khuldabad (R)
745,548989,679,Lamangaon
746,548973,629,Loni
747,548985,217,Mahamadpur
748,548959,515,Malkapur
749,548956,319,Mambapur
750,549002,1020,Mamnapur
751,548977,428,Mamurabad
752,548995,489,Matargaon
753,548963,767,Mawsala
754,548988,152,Mhaismal
755,548961,399,Nandrabad
756,548941,874,Nirgudi Bk
757,548939,1239,Nirgudi Kh.
758,548968,1623,Padli
759,548940,1203,Palasgaon
760,548948,1512,Palaswadi
761,548942,629,Pimpri
762,548980,657,Rail
763,549011,32,Rasulpura
764,548953,426,Salukheda
765,549003,696,Sarai
766,548971,0,Sawkheda
767,548958,783,Shahjatpur
768,549010,436,Shankarpur Wadi
769,548949,68,Shekapuri
770,548976,582,Shekhapur
771,548975,3626,Sobalgaon
772,549005,847,Sonkheda
773,548960,1061,Sulibhanjan
774,548981,138,Sultanabad
775,548999,1264,Sultanpur
776,548978,1712,Tajnapur
777,548990,1734,Takali
778,548955,837,Talyachi Wadi
779,548937,607,Tisgaon
780,548938,680,Tisgaon Tanda
781,548950,3963,Verul
782,548991,926,Viramgaon
783,548966,529,Wadgaon
784,548996,1256,Wadhod Bk.
785,548986,527,Wadhod Kh
786,548997,1330,Yesgaon
787,548969,547,Zari
788,802767,253,Khuldabad (M Cl)
789,549126,1058,Agar Saigaon
790,549097,1948,Aghur
791,549033,1081,Alapurwadi
792,549068,699,Amanatpurwadi
793,549024,608,Anchalgaon
794,549088,325,Aurangpur
795,549172,932,Awwalgaon
796,549056,2050,Babhulgaon Bk.
797,549154,1661,Babhulgaon Ganga
798,549057,963,Babhulgaon Kh.
799,549043,183,Babhulkheda
800,549015,1112,Babhultel
801,549151,1093,Babtara
802,549060,387,Baigaon
803,549175,1135,Bajathan
804,549020,524,Balhegaon
805,549131,550,Ballali Sagaj
806,549107,1897,Belgaon
807,549090,365,Bendawadi
808,549012,1891,Bhadali
809,549106,1562,Bhaggaon
810,549135,2473,Bhagur
811,549064,956,Bhaigaon Ganga
812,549093,2383,Bhaigaon Vaijapur
813,549169,1113,Bhalgaon
814,549049,1279,Bhatana
815,549146,512,Bhaur
816,549081,665,Bhingi
817,549085,2950,Bhivgaon
818,549053,1301,Bhokargaon
819,549077,1620,Biloli
820,549021,298,Birola
821,549082,2606,Borsar
822,549170,669,Chandegaon
823,549099,1179,Chandgaon
824,549177,625,Chenduphal
825,549027,914,Chikatgaon
826,549127,1533,Chinchadgaon
827,549160,1733,Chorwaghalgaon
828,549168,1126,Dagpimpalgaon
829,549116,1353,Dahegaon
830,549025,139,Daskul
831,549109,1224,Dawala
832,549176,507,Deogaon Shani
833,549067,4329,Dhondalgaon
834,549152,1741,Dongaon
835,549134,696,Ekodi Sagaj
836,549137,777,Fakirabadwadi
837,549054,2439,Garaj
838,549105,2270,Ghaigaon
839,549115,882,Golwadi
840,549031,107,Gondgaon
841,549145,533,Goygaon
842,549173,1844,Gudhe Pimpalgaon
843,549122,546,Hadas Pimpalgaon
844,549037,0,Hajipurwadi
845,549174,0,Hamrapur
846,549159,1481,Hanumantgaon
847,549133,369,Hargovindpur
848,549074,1050,Hilalpur
849,549042,150,Hingane Kannad
850,549147,473,Hingoni
851,549124,889,Jalgaon
852,549113,1923,Jambargaon
853,549058,498,Jambarkheda
854,549075,2114,Janephal
855,549094,1896,Jarul
856,549164,1567,Jategaon
857,549019,461,Jiri
858,549128,1156,Kanak Sagaj
859,549148,593,Kangoni
860,549143,0,Kapus Wadgaon
861,549119,1043,Karanjgaon
862,549163,396,Kautgaon
863,549017,324,Kavit Kheda
864,549110,2016,Khambala
865,549079,6961,Khandala
866,549028,1110,Kharaj
867,549132,305,Khirdi
868,549044,380,Khirdi Kannad
869,549136,301,Kiratpur
870,549080,945,Kolhi
871,549073,660,Koradgaon
872,549144,2768,Ladgaon
873,549078,1276,Lakh Khandala
874,549061,855,Lakhani
875,549150,830,Lakhganga
876,549118,310,Lakhmapurwadi
877,549121,2236,Lasurgaon
878,549096,1715,Loni Bk.
879,549026,1904,Loni Kh.
880,549161,2536,Mahalgaon
881,549103,746,Makarmatpur
882,549052,1002,Malegaon Kannad
883,549167,1575,Mali Ghogargaon
884,549130,1097,Mali Sagaj
885,549063,875,Mandki
886,549041,1094,Manegaon
887,549040,420,Manoli
888,549046,1858,Manoor
889,549139,1251,Mhaski
890,549087,413,Mirakhnagar
891,549142,198,Murshadpur
892,549158,1019,Nadi
893,549171,2456,Nagamthan
894,549111,1721,Nagina Pimpalgaon
895,549016,337,Naigavhan
896,549083,1158,Nalegaon
897,549100,1468,Nandgaon
898,549155,704,Nandur Dhok
899,549076,1185,Narala
900,549149,1413,Narayanpur
901,549030,1557,Nimgaon
902,549125,2503,Palkhed
903,549095,1050,Panghavan
904,549165,1502,Panvi Bk.
905,549091,527,Panvi Kh.
906,549092,723,Panvi Khandala
907,549071,3435,Parala
908,549089,1665,Parsoda
909,549066,188,Pashapur
910,549062,596,Pathri
911,549032,515,Pendephal
912,549048,309,Pimpalgaon Khandala
913,549051,1592,Pokhari
914,549153,1501,Purangaon
915,549038,0,Raghunathpurwadi
916,549069,287,Rahegaon
917,549117,295,Rahegavhan
918,549070,403,Rajura
919,549098,1067,Rotegaon
920,549039,0,Safiyabadwadi
921,549047,1145,Sakegaon
922,549045,686,Salegaon
923,549084,1286,Sanjarpurwadi
924,549112,1693,Satana
925,549086,3213,Sawandgaon
926,549156,1187,Sawkhed Ganga
927,549022,446,Sawkhed Khandala
928,549123,656,Shahjatpur
929,549035,8923,Shioor
930,549055,431,Shivgaon
931,549114,2981,Shivrai
932,549138,709,Siddhapurwadi
933,549140,2447,Sirasgaon
934,549120,246,Sonwadi
